Time (s),People Count
0.5517241379310345,2
0.5517241379310345,2
0.5517241379310345,2
0.5517241379310345,2
0.5517241379310345,2
0.5517241379310345,2
0.5517241379310345,2
0.5517241379310345,2
0.5517241379310345,2
0.5517241379310345,2
0.5517241379310345,2
0.5517241379310345,2
0.5517241379310345,2
0.5517241379310345,2
0.5517241379310345,2
0.5517241379310345,2
1.103448275862069,1
1.103448275862069,1
1.103448275862069,1
1.103448275862069,1
1.103448275862069,2
1.103448275862069,1
1.103448275862069,2
1.103448275862069,2
1.103448275862069,2
1.103448275862069,2
1.103448275862069,2
1.103448275862069,1
1.103448275862069,1
1.103448275862069,1
1.103448275862069,2
1.103448275862069,2
1.6551724137931034,2
1.6551724137931034,2
1.6551724137931034,2
1.6551724137931034,2
1.6551724137931034,3
1.6551724137931034,2
1.6551724137931034,4
1.6551724137931034,2
1.6551724137931034,3
1.6551724137931034,2
1.6551724137931034,2
1.6551724137931034,2
1.6551724137931034,3
1.6551724137931034,3
1.6551724137931034,3
1.6551724137931034,3
2.206896551724138,2
2.206896551724138,2
2.206896551724138,2
2.206896551724138,2
2.206896551724138,2
2.206896551724138,2
2.206896551724138,2
2.206896551724138,2
2.206896551724138,3
2.206896551724138,3
2.206896551724138,3
2.206896551724138,3
2.206896551724138,3
2.206896551724138,3
2.206896551724138,3
2.206896551724138,3
2.7586206896551726,3
2.7586206896551726,2
2.7586206896551726,3
2.7586206896551726,3
2.7586206896551726,3
2.7586206896551726,2
2.7586206896551726,2
2.7586206896551726,2
2.7586206896551726,1
2.7586206896551726,2
2.7586206896551726,2
2.7586206896551726,2
2.7586206896551726,3
2.7586206896551726,2
2.7586206896551726,3
2.7586206896551726,2
3.310344827586207,3
3.310344827586207,3
3.310344827586207,3
3.310344827586207,3
3.310344827586207,3
3.310344827586207,3
3.310344827586207,2
3.310344827586207,3
3.310344827586207,3
3.310344827586207,3
3.310344827586207,3
3.310344827586207,2
3.310344827586207,3
3.310344827586207,2
3.310344827586207,3
3.310344827586207,3
3.8620689655172415,3
3.8620689655172415,3
3.8620689655172415,3
3.8620689655172415,3
3.8620689655172415,3
3.8620689655172415,3
3.8620689655172415,3
3.8620689655172415,3
3.8620689655172415,3
3.8620689655172415,3
3.8620689655172415,3
3.8620689655172415,3
3.8620689655172415,3
3.8620689655172415,3
3.8620689655172415,3
3.8620689655172415,3
4.413793103448276,3
4.413793103448276,3
4.413793103448276,3
4.413793103448276,3
4.413793103448276,3
4.413793103448276,3
4.413793103448276,3
4.413793103448276,3
4.413793103448276,3
4.413793103448276,3
4.413793103448276,3
4.413793103448276,3
4.413793103448276,3
4.413793103448276,3
4.413793103448276,3
4.413793103448276,3
4.9655172413793105,3
4.9655172413793105,3
4.9655172413793105,3
4.9655172413793105,3
4.9655172413793105,3
4.9655172413793105,3
4.9655172413793105,3
4.9655172413793105,3
4.9655172413793105,2
4.9655172413793105,3
4.9655172413793105,3
4.9655172413793105,3
4.9655172413793105,3
4.9655172413793105,3
4.9655172413793105,2
4.9655172413793105,3
5.517241379310345,4
5.517241379310345,3
5.517241379310345,3
5.517241379310345,3
5.517241379310345,3
5.517241379310345,2
5.517241379310345,2
5.517241379310345,2
5.517241379310345,3
5.517241379310345,3
5.517241379310345,3
5.517241379310345,3
5.517241379310345,3
5.517241379310345,3
5.517241379310345,3
5.517241379310345,3
6.068965517241379,3
6.068965517241379,3
6.068965517241379,3
6.068965517241379,3
6.068965517241379,2
6.068965517241379,2
6.068965517241379,2
6.068965517241379,2
6.068965517241379,3
6.068965517241379,2
6.068965517241379,2
6.068965517241379,2
6.068965517241379,2
6.068965517241379,2
6.068965517241379,4
6.068965517241379,1
6.620689655172414,2
6.620689655172414,2
6.620689655172414,2
6.620689655172414,2
6.620689655172414,2
6.620689655172414,2
6.620689655172414,2
6.620689655172414,2
6.620689655172414,2
6.620689655172414,2
6.620689655172414,2
6.620689655172414,2
6.620689655172414,3
6.620689655172414,3
6.620689655172414,3
6.620689655172414,2
7.172413793103448,2
7.172413793103448,3
7.172413793103448,3
7.172413793103448,3
7.172413793103448,3
7.172413793103448,3
7.172413793103448,3
7.172413793103448,2
7.172413793103448,3
7.172413793103448,3
7.172413793103448,3
7.172413793103448,2
7.172413793103448,2
7.172413793103448,2
7.172413793103448,3
7.172413793103448,3
7.724137931034483,3
7.724137931034483,3
7.724137931034483,3
7.724137931034483,2
7.724137931034483,2
7.724137931034483,2
7.724137931034483,2
7.724137931034483,3
7.724137931034483,2
7.724137931034483,2
7.724137931034483,2
7.724137931034483,3
7.724137931034483,2
7.724137931034483,3
